gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct
2,3,MIN,8,10,1675,556,0,556,3350,1948,16.597014925373134,58.149253731343286,33.19402985074627
2,3,MIN,8,11,1675,529,0,529,3350,1960,15.791044776119403,58.507462686567166,31.582089552238806
2,3,MIN,8,12,1675,541,0,541,3350,1972,16.149253731343283,58.86567164179104,32.298507462686565
2,3,MIN,8,7,1675,547,0,547,3350,1946,16.328358208955223,58.08955223880597,32.656716417910445
2,3,MIN,8,8,1675,537,0,537,3350,1961,16.029850746268657,58.53731343283582,32.059701492537314
2,3,MIN,8,9,1675,535,0,535,3350,1965,15.970149253731345,58.656716417910445,31.94029850746269
2,3,MIN,9,10,953,471,0,471,1906,610,24.711437565582372,32.00419727177335,49.422875131164744
2,3,MIN,9,11,953,443,0,443,1906,608,23.24239244491081,31.899265477439663,46.48478488982162
2,3,MIN,9,12,953,476,0,476,1906,614,24.97376705141658,32.21406086044071,49.94753410283316
2,3,MIN,9,7,953,462,0,462,1906,603,24.239244491080797,31.63693599160546,48.47848898216159
2,3,MIN,9,8,953,444,0,444,1906,610,23.29485834207765,32.00419727177335,46.5897166841553
2,3,MIN,9,9,953,460,0,460,1906,607,24.134312696747116,31.846799580272823,48.26862539349423
2,4,MAX,10,10,482,344,0,344,964,142,35.684647302904565,14.730290456431536,71.36929460580913
2,4,MAX,10,11,482,332,0,332,964,142,34.439834024896264,14.730290456431536,68.87966804979253
2,4,MAX,10,12,482,341,0,341,964,142,35.37344398340249,14.730290456431536,70.74688796680498
2,4,MAX,10,7,482,346,0,346,964,142,35.892116182572614,14.730290456431536,71.78423236514523
2,4,MAX,10,8,482,347,0,347,964,142,35.995850622406635,14.730290456431536,71.99170124481327
2,4,MAX,10,9,482,338,0,338,964,142,35.06224066390041,14.730290456431536,70.12448132780082
2,4,MAX,11,10,244,189,0,189,488,0,38.72950819672131,0.0,77.45901639344262
2,4,MAX,11,11,244,192,0,192,488,0,39.34426229508197,0.0,78.68852459016394
2,4,MAX,11,12,244,186,0,186,488,0,38.114754098360656,0.0,76.22950819672131
2,4,MAX,11,7,244,199,0,199,488,0,40.77868852459016,0.0,81.55737704918032
2,4,MAX,11,8,244,188,0,188,488,0,38.52459016393443,0.0,77.04918032786885
2,4,MAX,11,9,244,196,0,196,488,0,40.16393442622951,0.0,80.32786885245902
2,4,MAX,12,10,140,132,0,132,280,0,47.14285714285714,0.0,94.28571428571428
2,4,MAX,12,11,140,132,0,132,280,0,47.14285714285714,0.0,94.28571428571428
2,4,MAX,12,12,140,130,0,130,280,0,46.42857142857143,0.0,92.85714285714286
2,4,MAX,12,7,140,125,0,125,280,0,44.642857142857146,0.0,89.28571428571429
2,4,MAX,12,8,140,131,0,131,280,0,46.785714285714285,0.0,93.57142857142857
2,4,MAX,12,9,140,133,0,133,280,0,47.5,0.0,95.0
2,4,MAX,7,10,2993,1130,0,1130,5986,0,18.877380554627464,0.0,37.75476110925493
2,4,MAX,7,11,2993,1123,0,1123,5986,0,18.760441029067827,0.0,37.520882058135655
2,4,MAX,7,12,2993,1120,0,1120,5986,0,18.710324089542265,0.0,37.42064817908453
2,4,MAX,7,7,2993,1143,0,1143,5986,0,19.094553959238223,0.0,38.189107918476445
2,4,MAX,7,8,2993,1130,0,1130,5986,0,18.877380554627464,0.0,37.75476110925493
2,4,MAX,7,9,2993,1107,0,1107,5986,0,18.493150684931507,0.0,36.986301369863014
2,4,MAX,8,10,1675,561,0,561,3350,1884,16.746268656716417,56.23880597014925,33.492537313432834
2,4,MAX,8,11,1675,523,0,523,3350,1945,15.611940298507463,58.05970149253732,31.223880597014926
2,4,MAX,8,12,1675,540,0,540,3350,1915,16.119402985074625,57.16417910447761,32.23880597014925
2,4,MAX,8,7,1675,529,0,529,3350,1907,15.791044776119403,56.92537313432836,31.582089552238806
2,4,MAX,8,8,1675,556,0,556,3350,1907,16.597014925373134,56.92537313432836,33.19402985074627
2,4,MAX,8,9,1675,549,0,549,3350,1916,16.388059701492537,57.19402985074626,32.776119402985074
2,4,MAX,9,10,953,474,0,474,1906,597,24.868835257082896,31.32214060860441,49.73767051416579
2,4,MAX,9,11,953,462,0,462,1906,601,24.239244491080797,31.532004197271775,48.47848898216159
2,4,MAX,9,12,953,472,0,472,1906,614,24.763903462749212,32.21406086044071,49.527806925498425
2,4,MAX,9,7,953,458,0,458,1906,603,24.02938090241343,31.63693599160546,48.05876180482686
2,4,MAX,9,8,953,457,0,457,1906,603,23.97691500524659,31.63693599160546,47.95383001049318
2,4,MAX,9,9,953,471,0,471,1906,610,24.711437565582372,32.00419727177335,49.422875131164744
2,4,MIN,10,10,482,345,0,345,964,142,35.788381742738586,14.730290456431536,71.57676348547717
2,4,MIN,10,11,482,333,0,333,964,141,34.54356846473029,14.626556016597512,69.08713692946058
2,4,MIN,10,12,482,342,0,342,964,141,35.477178423236516,14.626556016597512,70.95435684647303
